Item,Index,Rec.Date,Vender,Plant,Receiving No.,PR No.,PO No.,Request No.,User Name,Dept.,Inv. No.,SP/HM No.,S/N No.,Inv. Date,PR type,Part type,Description,Quantity, Amount ,Remark
1,INV250001,6-Jan-25,Aware Corporation Limited.,LPN1,P25010059,PR24030346,2310001582,,WARUT M.,IT,AIV20251012,,,1-Jan-25,Software,License,AWS HANA Web Application Firewall (WAF) Project (LPN1) HANA Lpn557 (JAN),1," 13,200.00 ",P9 : P12
2,INV250002,6-Jan-25,NEXUS SYSTEM RESOURCES COMPANY,LPN1,,PR24090275,2310004272,IT25010093,KAMPOL T.,IT,RI25010005,,,2-Jan-25,MA Software,License,SAP Enterprise Support SAP Annual Software Maintenance Fee in 2024 for the following,1," 2,778,949.00 ",01/01/2025-31/12/2025
2,INV250002,6-Jan-25,NEXUS SYSTEM RESOURCES COMPANY,LPN1,,PR24090275,2310004272,IT25010093,KAMPOL T.,IT,RI25010005,,,2-Jan-25,MA Software,License,SAP Enterprise Support Annual Adjustment of 0.62% to SAP On Premise Support Fee for Year 2025,1," 17,230.00 ",01/01/2025-31/12/2025
3,INV250003,6-Jan-25,Aware Corporation Limited.,LPN1,,PR24030346,2310001582,,WARUT M.,IT,AIV20242392,,,1-Aug-24,Software,License,AWS HANA Web Application Firewall (WAF) Project (LPN1) HANA Lpn557 (AUG),1," 13,200.00 ",P10 : P12
4,INV250004,8-Jan-25,"Wise solution and consulting co.,ltd.",LPN2,,PR24120359,2310005837,IT24120472,PREEDEE C.,PLN2,IV68C10804,HM22926,PF50J1B1,8-Jan-25,Asset,Laptop,Notebook Lenovo V15 G4 IRU 83A100DDTA,1," 15,900.00 ",HCOPMCS3068
5,INV250005,8-Jan-25,"Wise solution and consulting co.,ltd.",LPN1,P25010037,PR24120374,2310005838,IT24120663,RAWEEWAN K.,GEN,IV68010803,HM22933,PF50BB5M,8-Jan-25,Asset,Laptop,Notebook Lenovo V15 G4 IRU 83A100DDTA,1," 15,900.00 ",HCOGEN3069
6,INV250006,13-Jan-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25010072,PR24120025,2310005529,IT25010359,WATCHARAPONG W.,IT,NVAA6801/0050,HM22935,22475S0000034,10-Jan-25,Hardware,Switching Hub,TP-LINK 8-Port 10G Multi-Gigabit Switch # TL-SX1008,1," 12,000.00 ",
7,INV250007,15-Jan-25,"National Telecom Public Co.,Ltd.",LPN2,,PR24050286,2310002390,MIS24050618,Warut M.,IT,355565512,,,1-Jan-25,Network,Internet fee,CAT Corporate Internet Service speed 150/30Mbps.1 May 2024- 30 Apr 2025.,1," 17,500.00 ",P8 : P12
8,INV250008,15-Jan-25,T.VEERAPHAN KARKA(1968) LTD.PART,LPN1,P25010115,PR25010084,2310005999,,WATCHARAPONG W.,IT,0068010124,,,15-Jan-25,Spare part,Tape,13M Scotch Strong Double Mounting Tape 19mmX4M,2, 500.00 ,
9,INV250009,15-Jan-25,COMPUTER PERIPHERAL & SUPPLIES,LPN1,P25010119,PR24120075,2310005545,,SUPASSORN R.,IT,INV-67120627,TS2501001,,12-Dec-25,Spare part,Toner,"IDP Full-color, resin black and overlay panel ribbon withcleaning roller, 250cards/roll ",1," 1,900.00 ",IT25060741
9,INV250009,15-Jan-25,COMPUTER PERIPHERAL & SUPPLIES,LPN1,P25010119,PR24120075,2310005545,,SUPASSORN R.,IT,INV-67120627,TS2501002,,12-Dec-25,Spare part,Toner,"IDP Full-color, resin black and overlay panel ribbon withcleaning roller, 250cards/roll ",1," 1,900.00 ",
9,INV250009,15-Jan-25,COMPUTER PERIPHERAL & SUPPLIES,LPN1,P25010119,PR24120075,2310005545,,SUPASSORN R.,IT,INV-67120627,TS2501003,,12-Dec-25,Spare part,Toner,"IDP Full-color, resin black and overlay panel ribbon withcleaning roller, 250cards/roll ",1," 1,900.00 ",IT25080237
9,INV250009,15-Jan-25,COMPUTER PERIPHERAL & SUPPLIES,LPN1,P25010119,PR24120075,2310005545,,SUPASSORN R.,IT,INV-67120627,TS2501004,,12-Dec-25,Spare part,Toner,"IDP Full-color, resin black and overlay panel ribbon withcleaning roller, 250cards/roll ",1," 1,900.00 ",IT25110796
9,INV250009,15-Jan-25,COMPUTER PERIPHERAL & SUPPLIES,LPN1,P25010119,PR24120075,2310005545,,SUPASSORN R.,IT,INV-67120627,TS2501005,,12-Dec-25,Spare part,Toner,"IDP Full-color, resin black and overlay panel ribbon withcleaning roller, 250cards/roll ",1," 1,900.00 ",IT25080029
10,INV250010,16-Jan-25,"National Telecom Public Co.,Ltd.",LPN1,,PR25010213,2310006083,IT25010452,Warut M.,IT,355557325,,,1-Jan-25,Network,Internet fee,Internet service charge in  Dec 2024 at LPN1.,1," 35,000.00 ","new price (60,000)"
11,INV250011,20-Jan-25,"Wise solution and consulting co.,ltd.",LPN1,P25010183,PR25010044,2310005991,IT24120810,KINGKAEW PHANTASRI,HRD,IV68012204,HM22934,PF56R301,22-Jan-25,Asset,Laptop,N/B Lenovo V15 G4 IRU 83A100D0TA (15.6) Business Black,1," 12,500.00 ",HCOHRD3074
11,INV250011,20-Jan-25,"Wise solution and consulting co.,ltd.",LPN1,P25010183,PR25010044,2310005991,IT24120810,KINGKAEW PHANTASRI,HRD,IV68012204,,,22-Jan-25,Asset,Ram,"RAM DDR4(3200, NB) 8GB KINGSTON VALUE RAM (KVR32S22S8/8)",1, 590.00 ,
11,INV250011,20-Jan-25,"Wise solution and consulting co.,ltd.",LPN1,P25010183,PR25010044,2310005991,IT25010062,NILOBON THEPSAK,BSD1,IV68012204,HM22976,PF56R0Q7,22-Jan-25,Asset,Laptop,N/B Lenovo V15 G4 IRU 83A100D0TA (15.6) Business Black,1," 12,500.00 ",HCOCUS3075
11,INV250011,20-Jan-25,"Wise solution and consulting co.,ltd.",LPN1,P25010183,PR25010044,2310005991,IT25010062,NILOBON THEPSAK,BSD1,IV68012204,,,22-Jan-25,Asset,Ram,"RAM DDR4(3200, NB) 8GB KINGSTON VALUE RAM (KVR32S22S8/8)",1, 590.00 ,
12,INV250012,21-Jan-25,"Likid silp stationary & sport Ltd,.Part.",LPN1,P25010162,PR25010186,2310006069,,SUPASSORN R.,IT,IV68010830,,,20-Jan-25,Spare part,Stationary,Stationery2025,1," 4,105.75 ",
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501028,7701110919,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501029,7701110912,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25030787
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501030,7701110916,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25040380
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501031,7701110928,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25040479
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501032,7701110914,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25060103
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501033,7701110925,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25040407
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501034,7701110926,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25030035
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501035,7701110921,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25030434
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501036,7701110927,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25011003
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501037,7701110924,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25060266
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501038,8101116107,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25020586
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501039,8101116106,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25080762
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501040,8101116108,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25071065
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501041,8101116114,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25070833
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501042,8101116113,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501043,8101116115,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25060458
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501044,8101116111,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25070181
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501045,8101116105,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25060709
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501046,8101116112,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,IT25070332
13,INV250013,22-Jan-25,"CONTINUOUS FORM&COMPUTER CO.,LTD",LPN1,P25010172,PR25010081,2310006030,,WATCHARAPONG W.,IT,013320,SP2501047,8101116109,20-Jan-25,Spare part,POWER SUPPLY,POWER SUPPLY 650W DTECH PW036,1, 479.00 ,
14,INV250014,22-Jan-25,"Wise solution and consulting co.,ltd.",LPN1,P25010182,PR25010127,2310006031,IT25010258,LADDAWAN S.,FIN,IV68012203,HM22977,PF56QSZB,22-Jan-25,Asset,Laptop,N/B Lenovo V15 G4 IRU 83A100D0TA (15.6) Business Black,1," 12,500.00 ",HCOFIN3083
15,INV250015,27-Jan-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25010232,PR25010272,2310006140,IT25010184,ANISA T.,BSD1,NVAA6801/0115,HM22979,SMP2P0C3Q,27-Jan-25,Asset,Laptop,LENOVO IDEAPAD SLIM 5 16IAH8 # 83BG0067TA,1," 19,300.00 ",HCOCUS3086
16,INV250016,27-Jan-25,"Z-PLUS CO.,LTD.",LPN1,P25010231,PR24120250,2310005725,IT24120508,WARUT M.,IT,M25/006,,,24-Jan-25,MA System,MA System,Monthly System Maintenance for LPN1 (Start 01/Jan/2025 - 31/Dec/2025),1," 10,000.00 ",P1
17,INV250017,27-Jan-25,"Z-PLUS CO.,LTD.",LPN2,P25010231,PR24120252,2310005726,IT24120508,WARUT M.,ITS,M25/007,,,24-Jan-25,MA System,MA System,Monthly System Maintenance for LPN2 (Start 01/Jan/2025 - 31/Dec/2025),1," 10,000.00 ",P1
18,INV250018,28-Jan-25,"Wise solution and consulting co.,ltd.",LPN1,P25010155,PR25010231,2310006181,IT25010726,BENJAWAN MANA,QM,IV68012805,HM22980,PF5E5DGG,28-Jan-25,Asset,Laptop,Notebook Lenovo V15 G4 IRU 83A100DATA (Business Black),1," 16,800.00 ",HCOQMM3088
18,INV250018,28-Jan-25,"Wise solution and consulting co.,ltd.",LPN2,P25010155,PR25010231,2310006181,IT25020700,"WENYU	ZHOU",QMSS,IV68012805,HM22981,PF5E4429,28-Jan-25,Asset,Laptop,Notebook Lenovo V15 G4 IRU 83A100DATA (Business Black),1," 16,800.00 ",HCOQMSS3089
19,INV250019,28-Jan-25,"Wise solution and consulting co.,ltd.",LPN1,P25010256,PR25010349,2310006228,IT25010698,THARIKA M.,PLN1,IV68012801,HM22982,PF533ZBW,28-Jan-25,Asset,Laptop,N/B Lenovo V15 G4 IRU 83A100D0TA (15.6) Business Black,1," 12,500.00 ",HCOPMC3091
20,INV250020,28-Jan-25,"Wise solution and consulting co.,ltd.",LPN1,P25010257,PR25010244,2310006137,IT25010427,SOMKIAT PRASERT,HRD,IV68012804,SP2501027,,28-Jan-25,Spare part,Adapter,Adapter HP Notebook 19.5V/3.33A (65W) หัวเข็ม 4.5*3.0mm,1," 1,300.00 ",
21,INV250021,28-Jan-25,"Wise solution and consulting co.,ltd.",LPN1,P25010258,PR25010313,2310006182,IT25010579,SEKSIT M.,PUR,IV68012802,HM22983,H9PQ344,28-Jan-25,Asset,Laptop,Notebook DELL Inspiron 5640-OIN5640101801GTH,1," 29,300.00 ",HCOPUR3090
22,INV250022,28-Jan-25,"National Telecom Public Co.,Ltd.",LPN1,,PR24070479,2310003546,MIS24070994,Warut M.,IT,356163265,,,8-Jan-25,Network,Internet fee,Dark Core fiber optic rental for 12 months.,1," 30,000.00 ",P5 : P12
23,INV250023,29-Jan-25,RICOH (THAILAND) LTD.,LPN1,,PR25010475,2310006333,,SUPASSORN R.,IT,10529382,,,23-Jan-25,Printer Rent,RICOH,Hana printing charge of Jan 2025 at LPN1.,1," 24,946.58 ",
24,INV250024,29-Jan-25,RICOH (THAILAND) LTD.,LPN2,,PR25010476,2310006332,,SUPASSORN R.,ITS,10529383,,,23-Jan-25,Printer Rent,RICOH,Hana printing charge of Jan 2025 at LPN2.,1," 5,468.90 ",
25,INV250025,30-Jan-25,"Consulting Community Co., Ltd.",LPN1,,PR23120360,2310000438,,Warut M.,IT,IB-680000008,,,9-Jan-25,Service,SAP Service,SAP Basis Service for SAP Application and SAP HANA Database 1 Year,1," 37,500.00 ",Q4/2024
26,INV250026,30-Jan-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25010270,PR25010355,2310006227,,SUPASSORN R.,IT,NVAA6801/0124,TS2501006,,29-Jan-25,Spare part,Toner,HP INK NO:46 # CZ638AA TRI COLOUR,1, 340.00 ,IT25020691
26,INV250026,30-Jan-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25010270,PR25010355,2310006227,,SUPASSORN R.,IT,NVAA6801/0124,TS2501018,,29-Jan-25,Spare part,Toner,HP INK NO:46 # CZ638AA TRI COLOUR,1, 340.00 ,IT25090155
26,INV250026,30-Jan-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25010270,PR25010355,2310006227,,SUPASSORN R.,IT,NVAA6801/0124,TS2501019,,29-Jan-25,Spare part,Toner,HP INK NO:46 # CZ638AA TRI COLOUR,1, 340.00 ,
26,INV250026,30-Jan-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25010270,PR25010355,2310006227,,SUPASSORN R.,IT,NVAA6801/0124,TS2501009,,29-Jan-25,Spare part,Toner,HP INK NO:46 # CZ637AA BLACK,1, 340.00 ,
26,INV250026,30-Jan-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25010270,PR25010355,2310006227,,SUPASSORN R.,IT,NVAA6801/0124,TS2501010,,29-Jan-25,Spare part,Toner,HP INK NO:680 # F6V26AA TRI-COLOUR,1, 300.00 ,IT25060069
26,INV250026,30-Jan-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25010270,PR25010355,2310006227,,SUPASSORN R.,IT,NVAA6801/0124,TS2501011,,29-Jan-25,Spare part,Toner,HP INK NO:680 # F6V27AA BLACK,1, 300.00 ,IT25050008
26,INV250026,30-Jan-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25010270,PR25010355,2310006227,,SUPASSORN R.,IT,NVAA6801/0124,TS2501012,,29-Jan-25,Spare part,Toner,HP INK NO:680 # F6V27AA BLACK,1, 300.00 ,TS2501012
26,INV250026,30-Jan-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25010270,PR25010355,2310006227,,SUPASSORN R.,IT,NVAA6801/0124,TS2501013,,29-Jan-25,Spare part,Toner,HP INK NO:680 # F6V27AA BLACK,1, 300.00 ,IT25020741
26,INV250026,30-Jan-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25010270,PR25010355,2310006227,,SUPASSORN R.,IT,NVAA6801/0124,TS2501014,,29-Jan-25,Spare part,Toner,HP TONER NO.107A # W1107A BLACK,1," 1,500.00 ",IT25080895
26,INV250026,30-Jan-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25010270,PR25010355,2310006227,,SUPASSORN R.,IT,NVAA6801/0124,TS2501015,,29-Jan-25,Spare part,Toner,HP TONER NO.107A # W1107A BLACK,1," 1,500.00 ",IT25050730
26,INV250026,30-Jan-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25010270,PR25010355,2310006227,,SUPASSORN R.,IT,NVAA6801/0124,TS2501016,,29-Jan-25,Spare part,Toner,HP TONER NO.107A # W1107A BLACK,1," 1,500.00 ",IT25100618
27,INV250027,30-Jan-25,iSoft 2010 Company Limited.,LPN1,P25010281,PR25010419,2310006267,IT25010816,SOMCHAI RUANMANEE,IE,INV68-019,,,28-Jan-25,MA Software,License,SketchUp Pro 2024 New Single user Subscription 1 Year,1," 12,000.00 ",30/01/2025-29/01/2026
28,INV250028,31-Jan-25,CHIANGMAI SUPPAWAT ELECTRONIC,LPN2,P25010192,PR25010255,2310006141,,SURACHET P.,ITS,IV004/0272,,,31-Jan-25,Spare part,LAN Cable,CAT5E UTP Cable (305m/Box) LINK(US-9015LSZH),3," 9,540.00 ",
28,INV250028,31-Jan-25,CHIANGMAI SUPPAWAT ELECTRONIC,LPN2,P25010192,PR25010255,2310006141,,SURACHET P.,ITS,IV004/0272,,,31-Jan-25,Spare part,LAN Cable,CAT6 UTP Cable (305m/Box) LINK(US-9116LSZH),3," 12,150.00 ",
29,INV250029,4-Feb-25,"Wise solution and consulting co.,ltd.",LPN1,P25020019,PR25010450,2310006336,IT25010698,KITTIMA K.,PLN1,IV68020405,HM22984,92YG344,4-Feb-25,Asset,Laptop,Notebook DELL Inspiron 5440-OIN5440200501GTH (PS Platinum Silver),1," 29,500.00 ",HCOPMC3097
30,INV250030,4-Feb-25,GREAT TONER LIMITED PARTNERSHIP,LPN2,P25020008,PR25010353,2310006225,,SURACHET P.,ITS,G2502-0011,,,3-Feb-25,Spare part,Toner,HP TONER CE285A,3, 840.00 ,
31,INV250031,4-Feb-25,"Wise solution and consulting co.,ltd.",LPN2,P25020012,PR25010374,2310006241,IT25010693,NOPPORN T.,OP2S,IV68020404,HM22985,PF5330E8,4-Feb-25,Asset,Laptop,N/B Lenovo V15 G4 IRU 83A100D0TA (15.6) Business Black,1," 12,500.00 ",HCOOP2S3098
31,INV250031,4-Feb-25,"Wise solution and consulting co.,ltd.",LPN2,P25020012,PR25010374,2310006241,IT25010693,NOPPORN T.,OP2S,IV68020404,,,4-Feb-25,Asset,Ram,"RAM DDR4(3200, NB) 8GB KINGSTON VALUE RAM (KVR32S22S8/8)",1, 590.00 ,
32,INV250032,5-Feb-25,GREAT TONER LIMITED PARTNERSHIP,LPN1,P25020022,PR25010354,2310006226,,SUPASSORN R.,IT,G2502-0010,TS2501017,,3-Feb-25,Spare part,Toner,HP TONER CE285A,1, 280.00 ,
32,INV250032,5-Feb-25,GREAT TONER LIMITED PARTNERSHIP,LPN1,P25020022,PR25010354,2310006226,,SUPASSORN R.,IT,G2502-0010,TS2501007,,3-Feb-25,Spare part,Toner,HP TONER CE285A,1, 280.00 ,IT25050260
32,INV250032,5-Feb-25,GREAT TONER LIMITED PARTNERSHIP,LPN1,P25020022,PR25010354,2310006226,,SUPASSORN R.,IT,G2502-0010,TS2501008,,3-Feb-25,Spare part,Toner,HP TONER CE285A,1, 280.00 ,IT25030584
33,INV250033,7-Feb-25,Aware Corporation Limited.,LPN1,P25020062,PR24030346,2310001582,,WARUT M.,IT,AIV20251182,,,1-Feb-25,Software,License,AWS HANA Web Application Firewall (WAF) Project (LPN1) HANA Lpn557 (FEB),1," 13,200.00 ",P11 : P12
34,INV250034,7-Feb-25,"Wise solution and consulting co.,ltd.",LPN1,P25020059,PR25010491,2310006348,IT25010935,KANNIKA S.,PLN1,IV68020701,HM22996,PF5E3RQ4,7-Feb-25,Asset,Laptop,Notebook Lenovo V15 G4 IRU 83A100DATA (Business Black),1," 16,800.00 ",
35,INV250035,7-Feb-25,"NAKORNPING C & C CO.,LTD",LPN2,P25020035,PR25010445,2310006301,IT25010776,SOMYOS B.,OP2S,26016,,,6-Feb-25,Spare part,Battery,"Acer Battery Pack Primary,11.25V,43.08Wh ForAspire 3 A314-22/A315-56/A315-57",1," 2,000.00 ",
36,INV250036,11-Feb-25,"Wise solution and consulting co.,ltd.",LPN1,P25020086,PR25020097,2310006423,IT25011014,SONGWIT PREMKRATOK,IC,IV68021101,HM22997,PF550B8Z,11-Feb-25,Asset,Laptop,Notebook Lenovo IdeaPad 3 15IAU7 82RK017GTA,1," 13,900.00 ",HCOICC3102
37,INV250037,13-Feb-25,"National Telecom Public Co.,Ltd.",LPN2,,PR24050286,2310002390,MIS24050618,Warut M.,IT,356431546,,,1-Feb-25,Network,Internet fee,CAT Corporate Internet Service speed 150/30Mbps.1 May 2024- 30 Apr 2025.,1," 17,500.00 ",P9 : P12
38,INV250038,13-Feb-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25020127,PR25020054,2310006405,IT25010778,SAMART K.,OP4,IV016802/0036,,,13-Feb-25,Repair,Laptop,"Z8I BASE SUB ASSY BLACK,PCR60 SP (Lower Case)",1," 2,100.00 ",
38,INV250038,13-Feb-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25020127,PR25020054,2310006405,IT25010778,SAMART K.,OP4,IV016802/0036,,,13-Feb-25,Repair,Service,Service fee,1, 642.00 ,
39,INV250039,17-Feb-25,TANTIAUTOMATION LTD. PART,LPN1,P25020173,PR25010429,2310006288,,WATCHARAPONG W.,IT,IV6802049,,,17-Feb-25,Spare part,Screwdriver,Oria 126 in 1 Precision,1, 750.00 ,
40,INV250040,17-Feb-25,TANTIAUTOMATION LTD. PART,LPN2,P25020093,PR25010430,2310006289,,SURACHET P.,ITS,IV6802048,,,17-Feb-25,Spare part,Screwdriver,Oria 126 in 1 Precision,1, 750.00 ,
41,INV250041,19-Feb-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25020204,PR25010375,2310006239,IT25010594,SUWAPHIT B.,QM,IV016802/0057,,,19-Feb-25,Repair,Laptop,"Z8IAKB(THAI)BK W/TOP ASSY S,P",1," 2,196.26 ",
41,INV250041,19-Feb-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25020204,PR25010375,2310006239,IT25010600,METLADDA P.,QM,IV016802/0057,,,19-Feb-25,Repair,Laptop,"Z8I LCD COVER SUB ASSY S,P",1," 2,476.64 ",
41,INV250041,19-Feb-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25020204,PR25010375,2310006239,IT25010600,METLADDA P.,QM,IV016802/0057,,,19-Feb-25,Repair,Service,Service fee,1, 600.00 ,
42,INV250042,19-Feb-25,"Wise solution and consulting co.,ltd.",LPN1,P25020203,PR25020168,2310006490,IT25020236,SOMPORN POOKKAM,OP3,IV68021903,HM22998,PF550BAL,19-Feb-25,Asset,Laptop,Notebook Lenovo IdeaPad 3 15IAU7 82RK017GTA,1," 13,900.00 ",HCOOP33103
43,INV250043,19-Feb-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN2,P25020113,PR25010062,2310005996,IT25010218,WITTAYA P.,ITS,NVAA6802/0097,HM23013,DNI284102TR,19-Feb-25,Hardware,Switching Hub,"CISCO Catalyst 1300 24-port GE,4x1G SFP#C1300-24t-4G",1," 13,200.00 ",SPS2502021
43,INV250043,19-Feb-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN2,P25020113,PR25010062,2310005996,IT25010218,WITTAYA P.,ITS,NVAA6802/0097,HM23017,DNI284102N3,19-Feb-25,Hardware,Switching Hub,"CISCO Catalyst 1300 24-port GE,4x1G SFP#C1300-24t-4G",1," 13,200.00 ",SPS2502022
43,INV250043,19-Feb-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN2,P25020113,PR25010062,2310005996,IT25010218,WITTAYA P.,ITS,NVAA6802/0097,HM23016,DNI284101SJ,19-Feb-25,Hardware,Switching Hub,"CISCO Catalyst 1300 24-port GE,4x1G SFP#C1300-24t-4G",1," 13,200.00 ",SPS2502023
43,INV250043,19-Feb-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN2,P25020113,PR25010062,2310005996,IT25010218,WITTAYA P.,ITS,NVAA6802/0097,HM23014,DNI284102RT,19-Feb-25,Hardware,Switching Hub,"CISCO Catalyst 1300 24-port GE,4x1G SFP#C1300-24t-4G",1," 13,200.00 ",SPS2502024
43,INV250043,19-Feb-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN2,P25020113,PR25010062,2310005996,IT25010218,WITTAYA P.,ITS,NVAA6802/0097,HM23012,DNI284102UW,19-Feb-25,Hardware,Switching Hub,"CISCO Catalyst 1300 24-port GE,4x1G SFP#C1300-24t-4G",1," 13,200.00 ",SPS2502025
